symbol
BNB
DOGE
ADA
BCH
LINK
AVAX
LUNA2
AAVE
LTC
FIL
1000LUNC
UNI
NEAR
DOT
TRX
APT
CRV
1000SHIB
XLM
HBAR
OP
DASH
ETC
ICP
ZEN
INJ
LRC
ATOM
XMR
LDO
BAT
DYDX
GALA
ALGO
RSR
CHZ
BTCDOM
VET
TRB
COMP
SAND
XTZ
APE
SNX
THETA
GRT
ENS
AR
CELO
QNT
FLOW
IMX
MANA
PEOPLE
NEO
AXS
EGLD
KAVA
1INCH
SUSHI
RUNE
JASMY
YFI
LPT
IOTA
API3
ALICE
GMT
MASK
ZIL
WOO
ROSE
KSM
SKL
ENJ
DENT
ONE
COTI
GTC
RVN
C98
STG
ZRX
HOT
SFP
BEL
ONT
CTSI
IOST
QTUM
ATA
MTL
SPELL
KNC
BAND
